date,temperaturemin,temperaturemax,precipitation,snowfall,snowdepth,avgwindspeed,fastest2minwinddir,fastest2minwindspeed,fastest5secwinddir,fastest5secwindspeed,fog,fogheavy,mist,rain,fogground,ice,glaze,drizzle,snow,freezingrain,smokehaze,thunder,highwind,hail,blowingsnow,dust,freezingfog
7/30/10,73,89.1,0,0,0,5.59,60,14.09,30,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/31/10,64,78.1,0.12,0,0,2.91,100,10.07,110,16.11,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
8/3/10,71.1,91,0,0,0,3.8,190,10.07,150,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/14/10,73.9,88,0,0,0,7.61,90,14.09,90,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/18/10,75,96.1,0.1,0,0,6.49,240,19.91,230,27.96,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
8/21/10,66.9,90,0,0,0,3.36,130,12.97,140,19.91,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
8/23/10,72,89.1,0,0,0,4.25,100,16.11,70,21.03,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
8/28/10,70,90,0,0,0,2.68,50,12.97,110,19.91,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
8/31/10,64.9,97,0,0,0,2.24,50,10.07,30,16.11,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
9/8/10,71.1,91,0,0,0,8.95,280,17.9,270,23.94,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
9/10/10,57.9,88,0,0,0,5.37,30,14.09,10,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/12/10,64.9,88,0.03,0,0,3.8,290,12.97,340,21.92,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
9/13/10,63,87.1,0,0,0,3.58,60,16.11,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/14/10,60.1,96.1,0,0,0,4.03,280,16.11,280,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/19/10,60.1,93,0,0,0,2.01,80,10.07,130,14.99,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/20/10,64,93,0,0,0,4.7,50,14.09,30,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/22/10,70,96.1,0,0,0,8.5,240,17.9,230,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/23/10,71.1,99,0,0,0,6.71,220,14.99,220,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/24/10,70,96.1,0,0,0,7.83,170,14.99,230,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/30/10,68,77,1.84,0,0,7.83,160,21.92,170,31.09,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
10/5/10,46.9,69.1,0,0,0,4.03,290,14.99,310,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/7/10,46.9,82,0,0,0,5.59,260,17.9,270,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/12/10,57,88,0,0,0,3.8,230,14.09,240,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/20/10,52,64.9,0.1,0,0,2.24,40,8.05,50,12.08,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No
10/22/10,43,68,0,0,0,2.91,290,10.07,330,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/24/10,46.9,78.1,0,0,0,5.82,230,16.11,230,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/30/10,36,64.9,0,0,0,5.82,220,17,250,19.91,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/1/10,46,63,0,0,0,8.5,50,16.11,50,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/3/10,45,55.9,0.02,0,0,4.03,40,10.07,40,12.97,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11/11/10,39.9,66,0,0,0,4.03,40,14.99,40,31.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/15/10,39.9,70,0,0,0,1.79,230,8.05,150,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/16/10,54,66.9,0.38,0,0,8.28,250,25.05,280,36.91,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No
11/17/10,39.9,64.9,0.09,0,0,7.16,240,31.09,250,42.95,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
11/24/10,46,63,0,0,0,5.14,80,12.08,120,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/9/10,19.9,42.1,0,0,0,2.24,350,8.05,300,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/12/10,36,52,0.4,0,0,7.61,190,21.03,240,29.97,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No
12/14/10,16,35.1,0,0,0,10.07,280,17.9,300,31.09,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
12/24/10,21.9,46.9,0,0,0,0.89,350,8.95,340,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/31/10,28.9,61,0,0,0,2.91,230,14.09,240,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/5/11,26.1,46,0,0,0,0.67,150,6.04,20,8.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/9/11,19,35.1,0,0,0,4.03,330,12.97,300,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/18/11,32,46.9,0,0,0,4.7,20,12.97,10,21.92,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
1/21/11,28,46.9,0,0,0,7.16,300,17.9,290,31.99,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
1/22/11,17.1,32,0,0,0,5.82,50,14.09,40,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/26/11,37.9,43,0.37,0,0,6.26,280,14.99,290,25.05,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
1/27/11,28,48,0,0,0,2.68,240,12.08,240,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/28/11,28,55.9,0,0,0,4.47,270,17,270,23.94,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2/1/11,34,53.1,0,0,0,4.47,160,8.95,160,14.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2/5/11,35.1,48.9,0.92,0,0,8.05,230,21.03,230,25.95,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2/6/11,30,54,0,0,0,2.01,240,8.95,220,12.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/11/11,21,51.1,0,0,0,1.12,330,6.93,320,10.07,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2/13/11,25,61,0,0,0,6.93,230,17.9,220,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/16/11,34,63,0,0,0,5.37,230,17.9,230,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2/18/11,52,78.1,0,0,0,10.74,230,17.9,280,23.04,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
2/23/11,28.9,53.1,0,0,0,3.36,50,8.95,50,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/3/11,35.1,53.1,0,0,0,10.74,70,21.03,80,29.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/16/11,46.9,64,0.05,0,0,2.91,270,10.07,300,14.09,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
3/19/11,55.9,75,0,0,0,5.82,40,17.9,50,25.05,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/21/11,52,75,0,0,0,12.75,240,27.96,240,36.01,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3/23/11,50,82.9,0.45,0,0,6.71,230,25.95,220,36.01,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
3/30/11,39.9,48,1.05,0,0,7.83,100,21.92,100,29.08,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
4/1/11,37.9,55,0,0,0,6.26,280,17.9,290,29.97,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/2/11,37,64.9,0,0,0,8.95,270,27.96,280,42.95,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
4/7/11,46,79,0,0,0,6.49,230,14.99,220,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/8/11,53.1,82,0.06,0,0,5.14,30,21.92,20,31.99,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
4/10/11,52,72,0,0,0,3.8,210,8.95,200,14.09,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
4/12/11,57,73,0,0,0,12.3,220,31.99,200,40.04,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
4/13/11,46.9,72,0,0,0,5.14,290,14.09,270,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/19/11,55.9,84.9,0,0,0,11.18,230,21.03,190,27.96,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/21/11,55,73,0.01,0,0,5.82,120,16.11,360,21.92,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
4/23/11,54,78.1,0.01,0,0,5.82,210,17,210,23.04,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
4/24/11,62.1,87.1,0,0,0,11.18,230,21.92,210,25.95,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4/26/11,68,82.9,0,0,0,10.29,190,17.9,190,25.05,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
4/27/11,68,87.1,0.21,0,0,12.97,230,29.97,230,40.94,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
5/14/11,63,79,0.12,0,0,4.7,170,14.09,170,16.11,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
5/17/11,57.9,72,0.17,0,0,7.16,180,16.11,160,21.92,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
5/20/11,57,82,0,0,0,2.68,260,12.08,240,17,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
5/22/11,59,89.1,0,0,0,4.03,280,12.08,290,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5/23/11,66,91,0.09,0,0,7.38,230,19.91,210,25.05,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
6/2/11,70,95,0,0,0,2.91,20,10.07,30,16.11,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
6/3/11,66,84.9,0,0,0,6.93,40,16.11,40,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/5/11,69.1,90,0,0,0,5.82,40,16.11,50,17.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/6/11,69.1,90,0,0,0,4.7,50,12.97,20,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/10/11,72,96.1,0,0,0,7.38,140,12.97,80,31.99,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
6/12/11,66.9,93.9,0.24,0,0,5.59,300,23.04,310,34.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
6/16/11,68,91,0,0,0,8.5,230,19.91,200,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/17/11,66.9,91.9,0,0,0,4.92,230,14.99,150,31.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/24/11,72,96.1,0.02,0,0,11.41,230,21.92,240,31.99,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
6/25/11,70,89.1,0,0,0,4.03,250,14.99,240,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6/26/11,68,93.9,0,0,0,3.58,230,14.09,250,25.05,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
6/29/11,68,93,0.04,0,0,4.47,10,10.07,360,17,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
7/1/11,64.9,93,0,0,0,3.13,30,14.09,30,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/6/11,73,89.1,0.22,0,0,6.26,220,21.92,220,25.95,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
7/14/11,69.1,87.1,0,0,0,8.72,50,17,50,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/16/11,63,89.1,0,0,0,6.04,100,12.97,140,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/17/11,68,88,0,0,0,2.68,200,8.95,120,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/25/11,73.9,97,0.07,0,0,4.92,250,25.95,240,31.99,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No
7/27/11,73,99,0,0,0,4.92,110,14.99,140,27.96,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7/31/11,73,84.9,1.16,0,0,2.68,30,14.99,40,29.97,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
8/1/11,71.1,93.9,0,0,0,2.46,80,12.08,50,17.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/4/11,77,95,0,0,0,4.92,90,14.09,30,23.04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/8/11,73,96.1,0,0,0,5.59,280,12.97,260,21.03,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/16/11,64,88,0,0,0,1.79,50,8.95,30,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8/23/11,66,84,0,0,0,5.82,60,12.97,50,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/1/11,60.1,86,0,0,0,2.01,90,12.08,90,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/12/11,66,87.1,0,0,0,2.91,140,8.95,40,12.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/21/11,66.9,82.9,0.43,0,0,3.36,120,8.05,,,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
9/24/11,66.9,78.1,0.03,0,0,3.8,90,8.05,,,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
9/26/11,68,84.9,0,0,0,2.91,160,17.9,160,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9/29/11,61,84,0,0,0,4.25,240,16.11,280,21.92,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/10/11,55.9,75,0,0,0,6.71,50,12.08,50,14.99,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/18/11,59,82.9,1.04,0,0,6.26,170,14.09,160,19.91,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
10/19/11,54,68,0.84,0,0,10.51,250,25.95,260,34.9,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
10/23/11,39.9,69.1,0,0,0,1.57,80,8.95,90,14.09,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10/24/11,43,72,0,0,0,1.12,260,8.95,270,12.08,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/3/11,36,66.9,0.17,0,0,4.03,180,12.97,180,17,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
11/4/11,46.9,55,1.43,0,0,11.41,40,21.03,30,29.08,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No
11/11/11,33.1,53.1,0,0,0,5.82,300,16.11,300,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/15/11,62.1,78.1,0,0,0,10.51,220,21.03,230,25.95,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/21/11,60.1,77,0,0,0,4.7,220,12.08,230,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11/23/11,48.9,73.9,0.18,0,0,12.08,190,21.92,290,34.9,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
11/30/11,34,53.1,0,0,0,5.82,300,14.99,290,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/5/11,45,71.1,0,0,0,4.7,160,12.08,150,16.11,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
12/10/11,36,53.1,0,0,0,2.91,50,12.08,20,16.11,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/22/11,61,68,0.08,0,0,7.83,210,21.03,200,29.08,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
12/27/11,42.1,64,0.56,0,0,11.86,240,29.97,230,44.07,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
12/29/11,26.1,55.9,0,0,0,4.7,230,16.11,210,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
12/31/11,39.9,64.9,0,0,0,6.49,270,14.99,290,23.94,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/1/12,35.1,68,0.01,0,0,7.83,220,23.04,210,29.08,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
1/6/12,33.1,66,0,0,0,5.59,230,14.09,220,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/11/12,44.1,60.1,0.61,0,0,8.05,230,19.91,230,27.96,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
1/12/12,44.1,59,0,0,0,12.97,220,23.04,210,29.97,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/17/12,42.1,64.9,0.1,0,0,14.99,240,31.09,230,40.94,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
1/20/12,33.1,57,0.19,0,0,3.8,130,12.08,120,14.99,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
1/21/12,36,57.9,0.42,0,0,7.61,220,17.9,220,23.94,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
1/25/12,34,64,0,0,0,1.79,150,8.95,150,14.09,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/28/12,32,62.1,0,0,0,4.47,340,14.99,330,21.92,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1/29/12,32,53.1,0,0,0,5.59,230,16.11,230,19.91,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
